100000	0	16
100001	16	1
100002	1	9
100003	16	1
100004	16	15
100005	1	9
100006	16	1
100007	16	1
100008	16	2
100009	16	2
100010	16	3
100011	8	9
100012	8	9
100013	8	9
100014	9
100015	0	9
100016	16	2
100017	3	9
100018	0	16
100019	16	2
100020	9
100021	0	16
100022	16	2
100023	16	3
100024	0	9
100025	16	15
100026	16	15
100027	16	15
100028	9	15
100029	16	15
100030	0	9
100031	16	15
100032	9	15
100033	16	15
100034	0	16
100035	0	16
100036	16	2
100037	8	9
100038	0	16
100039	16	3
100040	0	16
100041	16	3
100042	0	16
100043	0	9
100044	16	2
100045	9
100046	16	2
100047	16	2
100048	16	2
100049	16	2
100050	9
100051	2	9
100052	16	2
100053	16	2
100054	2	9
100055	0	16
100056	9
100057	9
100058	0	16
100059	3	9
100060	0	16
100061	0	9
100062	0	16
100063	8	9
100064	16	2
100065	9
100066	16	2
100067	16	2
100068	0	16
100069	16	2
100070	0	9
100071	16	3
100072	0	16
100073	16	1
100074	0	16
100075	0	16
100076	0	16
100077	0	16
100078	16	2
100079	5	9
100080	16	15
100081	0	16
100082	16	2
100083	0	9
100084	16	3
100085	0	16
100086	0	16
100087	9
100088	16	15
100089	0	16
100090	9
100091	0	16
100092	16	5
100093	0	16
100094	0	9
100095	0	16
100096	0	16
100097	0	16
100098	0	16
100099	0	16
100100	16	7
100101	0	16
100102	8	9
100103	16	11
100104	0	16
100105	0	16
100106	3	9
100107	16	11
100108	0	16
100109	0	16
100110	16	15
100111	0	16
100112	0	16
100113	16	2
100114	0	16
100115	16	2
100116	0	16
100117	0	16
100118	16	2
100119	16	1
100120	0	9
100121	0	16
100122	0	16
100123	0	16
100124	0	9
100125	0	16
100126	0	9
100127	16	11
100128	0	16
100129	0	16
100130	16	2
100131	16	2
100132	0	9
100133	0	16
100134	0	16
100135	0	16
100136	0	9
100137	0	16
100138	0	16
100139	9
100140	9
100141	0	16
100142	0	16
100143	16	1
100144	16	11
100145	9	15
100146	0	16
100147	0	16
100148	0	16
100149	0	9
100150	9	11	15
100151	0	16
100152	0	16
100153	0	16
100154	0	9
100155	0	16
100156	0	9
100157	0	9
100158	0	16
100159	0	16
100160	0	9
100161	0	9
100162	16	15
100163	0	16
100164	9
100165	0	16
100166	0	16
100167	0	9
100168	0	16
100169	0	16
100170	0	9
100171	0	9
100172	0	16
100173	16	1
100174	0	16
100175	0	9
100176	9	15
100177	16	1
100178	9
100179	16	1
100180	9	11
100181	0	16
100182	0	16
100183	0	16
100184	0	9
100185	0	16
100186	0	16
100187	0	16
100188	0	16
100189	16	2
100190	0	16
100191	16	11
100192	16	2
100193	16	2
100194	16	2
100195	16	2
100196	16	5
100197	9
100198	0	16
100200	0	9
100201	0	16
100202	0	16
100203	16	3
100204	1	9
100205	0	16
100206	9	11
100207	16	11
100208	2
100209	16	1
100210	9	11
100211	0	16
100212	9	11
100213	0	16
100214	0	9
100215	0	9
100216	0	9
100217	9
100218	6
100219	9	11
100220	9
100221	9	11
100222	9	13
100223	0	9
100224	0	16
100225	16	7
100226	0	16
100227	16	15
100228	0	16
100229	9	11
100230	0	9
100231	3	9
100232	0	9
100233	9
100234	0	9
100235	0	9
100236	9
100237	0	16
100238	0	9
100239	2	9
100240	16	2
100241	11
100242	0	16
100243	0	16
100244	9	11
100245	0	9
100246	9
100247	3	9
100248	0	9
100249	0
100250	0	16
100251	0	16
100252	0	16
100253	0	9
100254	9
100255	0	9
100256	16	3
100257	0	9
100258	0	16
100259	16	15
100260	11
100261	0	9
100262	16	11
100263	0	16
100264	0	16
100265	0	16
100266	9	15
100267	9	11
100268	16	1
100269	0	16
